Id_Dep,Id_Mun,Departamento,Municipio,Pobl. Pueblo Orig,Pobl. Pueblo Maya
14,1406,Quiché,Chichicastenango,140037,139900
14,1407,Quiché,Patzité,6052,6046
14,1408,Quiché,San Antonio Ilotenango,25484,25458
14,1409,Quiché,San Pedro Jocopilas,30234,30207
14,1410,Quiché,Cunén,37719,37619
14,1411,Quiché,San Juan Cotzal,30416,30298
14,1412,Quiché,Joyabaj,75385,75295
14,1413,Quiché,Nebaj,68849,68612
14,1414,Quiché,San Andrés Sajcabajá,22269,22251
14,1415,Quiché,Uspantán,55061,54380
14,1416,Quiché,Sacapulas,50862,50813
14,1417,Quiché,San Bartolomé Jocotenango,13380,13371
14,1418,Quiché,Canillá,5600,5560
14,1419,Quiché,Chicamán,31194,31162
14,1420,Quiché,Ixcán,77312,76936
14,1421,Quiché,Pachalum,1383,1365
15,1501,Baja Verapaz,Salamá,14795,14559
15,1502,Baja Verapaz,San Miguel Chicaj,30380,30339
15,1503,Baja Verapaz,Rabinal,33500,33393
15,1504,Baja Verapaz,Cubulco,40947,40807
15,1505,Baja Verapaz,Granados,1361,1343
15,1506,Baja Verapaz,El Chol,869,859
15,1507,Baja Verapaz,San Jerónimo,4418,4230
15,1508,Baja Verapaz,Purulhá,54325,54216
16,1601,Alta Verapaz,Cobán,182153,181344
16,1602,Alta Verapaz,Santa Cruz Verapaz,26059,25924
16,1603,Alta Verapaz,San Cristóbal Verapaz,61362,61135
16,1604,Alta Verapaz,Tactic,32595,32507
16,1605,Alta Verapaz,Tamahú,19629,19598
16,1606,Alta Verapaz,Tucurú,42568,42524
16,1607,Alta Verapaz,Panzós,70796,70693
16,1608,Alta Verapaz,Senahú,91001,90873
16,1609,Alta Verapaz,San Pedro Carchá,228320,227929
16,1610,Alta Verapaz,San Juan Chamelco,55831,55755
16,1611,Alta Verapaz,Lanquín,23847,23827
16,1612,Alta Verapaz,Cahabón,64075,63990
16,1613,Alta Verapaz,Chisec,79016,78878
16,1614,Alta Verapaz,Chahal,25021,24970
16,1615,Alta Verapaz,Fray Bartolomé de Las Casas,59595,59506
16,1616,Alta Verapaz,Santa Catalina La Tinta,39101,39004
16,1617,Alta Verapaz,Raxruhá,30971,30912
17,1701,Petén,Flores,2638,2569
17,1702,Petén,San José,2403,2388
17,1703,Petén,San Benito,3598,3388
17,1704,Petén,San Andrés,5578,5500
17,1705,Petén,La Libertad,15806,15670
17,1706,Petén,San Francisco,3438,3400
17,1707,Petén,Santa Ana,1568,1528
17,1708,Petén,Dolores,2594,2538
17,1709,Petén,San Luis,42082,41862
17,1710,Petén,Sayaxché,57769,57401
17,1711,Petén,Melchor de Mencos,918,807
17,1712,Petén,Poptún,17896,17782
17,1713,Petén,Las Cruces,7183,6962
17,1714,Petén,El Chal,3102,3019
18,1801,Izabal,Puerto Barrios,7492,5755
18,1802,Izabal,Lívingston,41286,39187
18,1803,Izabal,El Estor,67369,66980
18,1804,Izabal,Morales,2643,2387
18,1805,Izabal,Los Amates,1142,987
19,1901,Zacapa,Zacapa,1485,1055
19,1902,Zacapa,Estanzuela,146,126
19,1903,Zacapa,Río Hondo,221,179
19,1904,Zacapa,Gualán,589,509
19,1905,Zacapa,Teculután,220,197
19,1906,Zacapa,Usumatlán,136,108
19,1907,Zacapa,Cabañas,82,68
19,1908,Zacapa,San Diego,62,54
19,1909,Zacapa,La Unión,2765,2284
19,1910,Zacapa,Huité,147,118
19,1911,Zacapa,San Jorge,102,71
20,2001,Chiquimula,Chiquimula,1215,938
20,2002,Chiquimula,San José La Arada,167,157
20,2003,Chiquimula,San Juan Ermita,5297,5244
20,2004,Chiquimula,Jocotán,53366,53204
20,2005,Chiquimula,Camotán,36296,35824
20,2006,Chiquimula,Olopa,14293,14228
20,2007,Chiquimula,Esquipulas,1780,1315
20,2008,Chiquimula,Concepción Las Minas,62,45
20,2009,Chiquimula,Quezaltepeque,252,199
20,2010,Chiquimula,San Jacinto,52,40
20,2011,Chiquimula,Ipala,205,174
21,2101,Jalapa,Jalapa,80573,1701
21,2102,Jalapa,San Pedro Pinula,6581,6198
21,2103,Jalapa,San Luis Jilotepeque,16103,16036
21,2104,Jalapa,San Manuel Chaparrón,70,20
21,2105,Jalapa,San Carlos Alzatate,17862,190
21,2106,Jalapa,Monjas,794,242
21,2107,Jalapa,Mataquescuintla,12959,504
22,2201,Jutiapa,Jutiapa,52374,1617
22,2202,Jutiapa,El Progreso,400,257
22,2203,Jutiapa,Santa Catarina Mita,1661,205
22,2204,Jutiapa,Agua Blanca,661,188
22,2205,Jutiapa,Asunción Mita,1677,735
22,2206,Jutiapa,Yupiltepeque,4060,94
22,2207,Jutiapa,Atescatempa,697,138
22,2208,Jutiapa,Jerez,241,67
22,2209,Jutiapa,El Adelanto,815,22
22,2210,Jutiapa,Zapotitlán,1670,32
22,2211,Jutiapa,Comapa,4141,210
22,2212,Jutiapa,Jalpatagua,2881,338
22,2213,Jutiapa,Conguaco,11980,140
22,2214,Jutiapa,Moyuta,7965,366
22,2215,Jutiapa,Pasaco,72,62
22,2216,Jutiapa,San José Acatempa,197,126
22,2217,Jutiapa,Quesada,9412,171
