Id_Dep,Id_Mun,Departamento,Municipio,Grupo Edad,Pobl. Grupo Edad
2,206,El Progreso,Sanarate,10 - 14,1220
2,206,El Progreso,Sanarate,100 o más,0
2,206,El Progreso,Sanarate,15 - 19,1356
2,206,El Progreso,Sanarate,20 - 24,1301
2,206,El Progreso,Sanarate,25 - 29,1091
2,206,El Progreso,Sanarate,30 - 34,930
2,206,El Progreso,Sanarate,35 - 39,815
2,206,El Progreso,Sanarate,40 - 44,732
2,206,El Progreso,Sanarate,45 - 49,644
2,206,El Progreso,Sanarate,5 - 9,1278
2,206,El Progreso,Sanarate,50 - 54,606
2,206,El Progreso,Sanarate,55 - 59,523
2,206,El Progreso,Sanarate,60 - 64,372
2,206,El Progreso,Sanarate,65 - 69,355
2,206,El Progreso,Sanarate,70  - 74,255
2,206,El Progreso,Sanarate,75 - 79,218
2,206,El Progreso,Sanarate,80 - 84,148
2,206,El Progreso,Sanarate,85 - 89,88
2,206,El Progreso,Sanarate,90  - 94,32
2,206,El Progreso,Sanarate,95 - 99,7
2,207,El Progreso,Sansare,0 - 4,3618
2,207,El Progreso,Sansare,10 - 14,3699
2,207,El Progreso,Sansare,100 o más,3
2,207,El Progreso,Sansare,15 - 19,4239
2,207,El Progreso,Sansare,20 - 24,3695
2,207,El Progreso,Sansare,25 - 29,3263
2,207,El Progreso,Sansare,30 - 34,2855
2,207,El Progreso,Sansare,35 - 39,2661
2,207,El Progreso,Sansare,40 - 44,2301
2,207,El Progreso,Sansare,45 - 49,1843
2,207,El Progreso,Sansare,5 - 9,4034
2,207,El Progreso,Sansare,50 - 54,1733
2,207,El Progreso,Sansare,55 - 59,1468
2,207,El Progreso,Sansare,60 - 64,1211
2,207,El Progreso,Sansare,65 - 69,989
2,207,El Progreso,Sansare,70  - 74,683
2,207,El Progreso,Sansare,75 - 79,527
2,207,El Progreso,Sansare,80 - 84,332
2,207,El Progreso,Sansare,85 - 89,187
2,207,El Progreso,Sansare,90  - 94,79
2,207,El Progreso,Sansare,95 - 99,24
2,208,El Progreso,San Antonio La Paz,0 - 4,2283
2,208,El Progreso,San Antonio La Paz,10 - 14,2145
2,208,El Progreso,San Antonio La Paz,100 o más,3
2,208,El Progreso,San Antonio La Paz,15 - 19,2220
2,208,El Progreso,San Antonio La Paz,20 - 24,2054
2,208,El Progreso,San Antonio La Paz,25 - 29,1765
2,208,El Progreso,San Antonio La Paz,30 - 34,1555
2,208,El Progreso,San Antonio La Paz,35 - 39,1360
2,208,El Progreso,San Antonio La Paz,40 - 44,1139
2,208,El Progreso,San Antonio La Paz,45 - 49,872
